Symbol	201414878-01	201414879-01	201414880-01	201414881-01	201414882-01	201414883-01
Group	0	0	0	1	1	1
ENSG00000000003.10	2145	1932	1059	1953	2426	2017
ENSG00000000005.5	0	0	2	1	0	0
ENSG00000000419.8	1373	1124	479	1656	1682	1517
ENSG00000000457.9	501	399	174	697	765	656
ENSG00000000460.12	175	183	67	266	355	279
ENSG00000000938.8	0	0	0	3	0	0
ENSG00000000971.11	983	936	522	4055	5061	4347
ENSG00000001036.9	1537	1320	493	2638	2794	2689
ENSG00000001084.6	1233	942	486	1574	1591	1864
ENSG00000001167.10	792	655	348	1249	1317	1540
ENSG00000001460.13	201	147	78	297	299	347
ENSG00000001461.12	3586	2594	1080	4638	4096	5321
ENSG00000001497.12	891	754	346	1299	1210	1480
ENSG00000001561.6	1376	1298	643	1319	1596	1255
ENSG00000001617.7	32	28	2	43	24	42
ENSG00000001626.10	1	0	2	0	0	1
ENSG00000001629.5	4852	4289	1726	6189	6368	6309
ENSG00000001630.11	3	3	0	19	12	23
ENSG00000001631.10	2640	2349	1240	2919	3336	3051
ENSG00000002016.12	423	304	103	542	535	516
ENSG00000002079.8	170	235	22	31	23	24
ENSG00000002330.9	51	38	17	187	185	166
ENSG00000002549.8	1264	1061	269	2286	2476	2214
ENSG00000002586.13	1713	1065	319	2212	1982	2369
ENSG00000002587.5	62	54	15	53	61	64
ENSG00000002726.15	0	1	0	3	0	0
ENSG00000002745.8	1	1	1	1	0	0
ENSG00000002746.10	0	3	1	0	0	1
ENSG00000002822.11	545	259	77	942	860	929
ENSG00000002834.13	3232	2553	811	3615	3277	4516
ENSG00000002919.10	110	108	37	170	187	226
ENSG00000002933.3	0	0	0	0	0	0
ENSG00000003056.3	2767	2279	1103	3233	3802	3469
ENSG00000003096.9	39	33	6	135	141	150
ENSG00000003137.4	118	105	36	305	209	264
ENSG00000003147.13	657	557	306	1013	1017	1090
ENSG00000003249.9	98	58	27	115	116	117
ENSG00000003393.10	6053	4198	1797	8279	7876	8549
ENSG00000003400.10	7	2	0	6	7	5
ENSG00000003402.15	3541	3100	1541	7251	7045	7672
ENSG00000003436.10	1669	1945	766	1944	2514	2138
ENSG00000003509.11	634	505	234	863	976	828
ENSG00000003756.12	4836	3146	1171	5855	5756	5763
ENSG00000003987.9	0	3	2	10	2	3
ENSG00000003989.12	0	0	1	0	2	1
ENSG00000004059.6	233	205	110	379	433	403
ENSG00000004139.9	316	216	83	682	630	778
ENSG00000004142.7	718	452	206	1108	1284	1147
ENSG00000004399.8	2302	1212	552	7410	7967	7637
ENSG00000004455.12	2921	2340	1247	2038	2173	2186
ENSG00000004468.8	2	0	0	0	1	0
ENSG00000004478.5	1416	1030	490	1669	1667	1737
ENSG00000004487.11	3976	3069	1343	3558	4055	3784
ENSG00000004534.10	4833	3910	1703	5520	4715	5917
ENSG00000004660.10	73	46	18	110	140	150
